Country,With NMSC : Both Sexes : Population,With NMSC : Both Sexes : ASR,With NMSC : Both Sexes : Mortality,With NMSC : Men : Population,With NMSC : Men : Mortality,With NMSC : Women : Population,With NMSC : Women : Mortality,Without NMSC : Both Sexes : Population,Without NMSC : Both Sexes : ASR,Without NMSC : Both Sexes : Mortality,Without NMSC : Men : Population,Without NMSC : Men : Mortality,Without NMSC : Women : Population,Without NMSC : Women : Mortality
World,19976499,196.9,9743832,10311610,5427827,9664889,4313548,18741966,186.5,9674416,9566825,5390596,9175144,4283820
Afghanistan,24275,106.2,16923,11239,8362,13036,8561,23750,103.5,16712,10984,8258,12766,8454
Albania,8019,160.8,4955,4587,3049,3432,1906,7702,155.5,4900,4396,3014,3306,1886
Algeria,64713,141.2,35778,29387,18809,35326,16969,63306,138.2,35347,28561,18543,34745,16804
Angola,24607,133.5,15541,10684,6998,13923,8543,24085,131.2,15446,10351,6936,13734,8510
Argentina,133420,215.8,70251,65040,36588,68380,33663,129689,210.7,69824,62734,36312,66955,33512
Armenia,9520,201.6,5861,5046,3244,4474,2617,9397,199.1,5824,4984,3227,4413,2597
Australia,212332,462.5,51884,116363,29368,95969,22516,151529,322.4,51126,80960,28848,70569,22278
Austria,50682,258.5,22381,27321,12167,23361,10214,45525,241.7,22206,24442,12069,21083,10137
Azerbaijan,18503,152.3,11314,9901,6601,8602,4713,18176,149.6,11226,9685,6541,8491,4685
Bahamas,955,192.7,552,477,266,478,286,937,189.0,552,465,266,472,286
Bahrain,1383,113.8,607,654,312,729,295,1373,113.1,607,646,312,727,295
Bangladesh,167256,105.6,116598,94922,68591,72334,48007,166093,104.9,116062,94208,68216,71885,47846
Barbados,1120,205.3,738,578,381,542,357,1104,202.2,737,568,381,536,356
Belarus,46402,273.2,22644,24933,13564,21469,9080,45019,266.9,22529,24321,13508,20698,9021
Belgium,81132,324.7,29005,43645,16045,37487,12960,72680,301.7,28875,38869,15974,33811,12901
Belize,409,114.7,211,188,106,221,105,375,105.5,211,169,106,206,105
Benin,7496,102.6,5069,3468,2470,4028,2599,7365,101.1,5018,3399,2444,3966,2574
Bhutan,638,87.6,480,356,280,282,200,630,86.5,478,350,278,280,200
Bolivia,17579,143.8,11015,7692,4958,9887,6057,16811,138.7,10908,7331,4904,9480,6004
Bosnia Herzegovina,14265,218.6,8590,7841,5051,6424,3539,13765,212.3,8512,7575,5008,6190,3504
Botswana,2317,115.4,1277,941,552,1376,725,2222,110.6,1258,893,542,1329,716
Brazil,627193,214.4,278835,319711,146702,307482,132133,591660,203.7,275762,298124,144948,293536,130814
Brunei Darussalam,925,192.2,464,396,229,529,235,902,187.2,464,383,229,519,235
Bulgaria,32812,222.0,18794,17515,10763,15297,8031,31485,215.5,18623,16812,10659,14673,7964
Burkina Faso,14538,125.2,10998,5556,4344,8982,6654,14308,123.1,10903,5498,4327,8810,6576
Burundi,7997,128.2,5760,3370,2431,4627,3329,7873,126.2,5707,3317,2409,4556,3298
Cambodia,19795,138.3,13799,9171,7150,10624,6649,19516,136.3,13682,9019,7085,10497,6597
Cameroon,19564,126.0,12798,7986,5312,11578,7486,19260,124.1,12686,7825,5253,11435,7433
Canada,292098,345.9,100465,153660,52714,138438,47751,232074,292.4,99555,119086,52127,112988,47428
Cape Verde,435,87.0,285,214,149,221,136,423,84.5,285,207,149,216,136
Central African Republic,2690,101.8,2023,1075,821,1615,1202,2656,100.6,2003,1059,811,1597,1192
Chad,10185,118.1,7257,5605,3937,4580,3320,10141,117.8,7248,5582,3932,4559,3316
Chile,59876,188.7,31440,32800,16897,27076,14543,57082,181.5,31154,31026,16727,26056,14427
China,4824703,201.6,2574176,2533906,1629288,2290797,944888,4775419,199.7,2560612,2510278,1622045,2265141,938567
Colombia,117620,177.6,56719,56224,27816,61396,28903,114573,173.7,56048,54462,27440,60111,28608
Comoros,619,106.8,418,237,167,382,251,599,104.1,416,227,165,372,251
"Congo, Democratic Republic of the",52612,103.0,37575,23033,16827,29579,20748,52049,101.9,37318,22772,16700,29277,20618
"Congo, Republic of",2727,80.7,1732,1171,815,1556,917,2717,80.5,1729,1168,814,1549,915
Costa Rica,13325,177.7,6072,6808,3246,6517,2826,11817,159.3,5994,5954,3194,5863,2800
Croatia,28809,313.4,13854,15607,8129,13202,5725,27512,306.1,13737,14957,8079,12555,5658
Cuba,49688,220.8,27724,26892,15854,22796,11870,45705,204.6,27304,24558,15592,21147,11712
Cyprus,6198,292.3,2837,3070,1574,3128,1263,5921,283.6,2806,2926,1550,2995,1256
Czechia,65676,280.9,28071,35033,15488,30643,12583,61107,267.5,27882,32448,15370,28659,12512
Côte d’Ivoire (Ivory Coast),21352,137.0,14143,9795,6684,11557,7459,21083,135.4,14043,9673,6627,11410,7416
Denmark,48840,374.7,17204,25826,9124,23014,8080,43964,349.8,17111,23038,9064,20926,8047
Djibouti,805,90.7,572,311,237,494,335,787,88.7,564,302,233,485,331
Dominican Republic,20171,167.0,11744,10735,6176,9436,5568,19887,164.8,11653,10593,6131,9294,5522
Ecuador,30888,152.7,16158,13890,7658,16998,8500,29613,147.1,15903,13245,7537,16368,8366
Egypt,150578,166.1,95275,73611,51692,76967,43583,148639,163.9,94069,72519,50988,76120,43081
El Salvador,9799,127.1,5292,4205,2290,5594,3002,9600,124.9,5239,4118,2268,5482,2971
Equatorial Guinea,926,107.7,589,410,279,516,310,910,105.8,583,401,275,509,308
Eritrea,2463,99.8,1724,910,652,1553,1072,2403,97.4,1697,883,641,1520,1056
Estonia,8050,282.5,4086,4214,2201,3836,1885,7817,277.0,4049,4091,2187,3726,1862
Eswatini,1108,135.3,697,344,231,764,466,1073,131.2,686,332,226,741,460
Ethiopia,80334,104.5,54698,27713,19731,52621,34967,77790,101.1,53461,26588,19200,51202,34261
Fiji,1601,174.8,865,654,324,947,541,1593,173.9,863,649,323,944,540
Finland,37660,276.9,13445,19737,7272,17923,6173,35274,265.9,13389,18471,7238,16803,6151
France (metropolitan),483568,339.0,190612,263339,106921,220229,83691,435114,316.6,189466,234479,106262,200635,83204
"France, Guadeloupe",2123,253.9,952,1312,533,811,419,2042,245.1,951,1271,533,771,418
"France, La Réunion",3015,203.1,1580,1770,955,1245,625,3014,203.0,1579,1770,955,1244,624
